10080,617,0.827008
10152,262,0.909599
10162,165,0.701204
1040,18,0.76767
10486,19,1.330024
10636,14,1.108987
10671,6,0.989527
10712,27,0.863342
10724,21,0.930162
10737,9,0.757966
10811,10,0.869689
11029,25,0.987113
111,586,1.025394
11654,50,1.2148
11666,2,0.070093
11793,8,0.990787
1186,17,0.932069
11879,3,0.894091
11889,2,0.073244
12075,101,0.936877
12180,7,1.259133
12608,3,1.39105
13019,8,0.774296
1303,7,0.950888
13168,2,1.167066
13281,1,0.038728
13430,6,1.191373
13457,11,0.880596
13502,12,1.069925
1415,5,0.644508
1426,24,1.107268
1514,38,1.285072
1660,110,1.054589
1665,260,1.331579
1815,10,1.015611
1911,33,0.876991
1966,5,1.815684
2266,30,1.07241
237,9,1.252392
268,152,0.905205
3015,996,0.962328
309,12,1.235131
3113,118,1.056774
3245,9,1.0368
3650,213,0.741268
3660,1,0.488057
3798,564,0.780362
3804,29,0.983077
3861,4,1.946296
3935,102,1.249026
4037,12,0.939561
4040,79,1.173645
4045,8,0.433094
4059,6,0.954233
4340,30,0.884292
4368,1,1.375929
4455,2,0.958832
4482,7,0.794098
4491,6,0.762656
4753,164,1.136046
5267,18,1.380894
5387,26,1.130986
5417,13,1.55526
5483,19,0.942167
5528,459,1.125585
568,3,0.528047
588,36,1.109326
5887,11,1.466691
6300,5,1.32191
6683,84,1.068735
6712,5,1.444639
7000,18,1.088266
7308,37,1.258033
7969,6,0.859345
8006,5,1.055555
8186,7,0.508748
8259,21,1.091863
829,45,1.022675
8366,6,0.404637
8575,33,0.984942
8640,33,0.892728
9126,2,0.959532
9280,15,1.628201
9288,5,1.597583
9371,4,0.926507
9419,1,0.110398
9424,6,1.340753
9824,11,1.67398
9877,4,1.088283
ALL,5996,0.996790419
